,I01,I02,I04
820,0.3,0.245,0.225
821,0.3,0.23,0.23
822,0.3,0.235,0.24
823,0.3,0.24,0.245
824,0.3,0.24,0.24
825,0.3,0.25,0.24
826,0.3,0.235,0.245
827,0.3,0.27,0.24
828,0.3,0.23,0.255
829,0.3,0.245,0.235
830,0.3,0.245,0.245
831,0.3,0.225,0.24
832,0.3,0.245,0.28
833,0.3,0.24,0.265
834,0.305,0.24,0.235
835,0.3,0.25,0.24
836,0.305,0.24,0.24
837,0.3,0.235,0.23
838,0.3,0.245,0.225
839,0.3,0.225,0.245
840,0.3,0.235,0.24
841,0.3,0.25,0.255
842,0.3,0.245,0.235
843,0.3,0.235,0.225
844,0.3,0.25,0.235
845,0.3,0.24,0.25
846,0.3,0.24,0.235
847,0.3,0.23,0.245
848,0.305,0.235,0.24
849,0.3,0.25,0.23
850,0.3,0.24,0.245
851,0.305,0.24,0.24
852,0.3,0.24,0.255
853,0.3,0.26,0.25
854,0.305,0.24,0.255
855,0.3,0.235,0.255
856,0.3,0.235,0.235
857,0.3,0.245,0.24
858,0.3,0.245,0.235
859,0.3,0.24,0.245
860,0.3,0.255,0.25
861,0.305,0.24,0.26
862,0.3,0.245,0.25
863,0.3,0.25,0.24
864,0.3,0.26,0.24
865,0.3,0.24,0.255
866,0.3,0.235,0.245
867,0.3,0.235,0.25
868,0.3,0.235,0.255
869,0.3,0.245,0.25
870,0.3,0.27,0.235
871,0.3,0.25,0.25
872,0.3,0.24,0.235
873,0.3,0.225,0.255
874,0.295,0.235,0.255
875,0.3,0.235,0.24
876,0.3,0.235,0.24
877,0.3,0.235,0.245
878,0.3,0.245,0.225
879,0.3,0.23,0.24
880,0.3,0.255,0.245
881,0.305,0.25,0.23
882,0.3,0.245,0.245
883,0.3,0.24,0.25
884,0.3,0.235,0.23
885,0.3,0.225,0.23
886,0.3,0.245,0.245
887,0.3,0.245,0.26
888,0.3,0.23,0.24
889,0.3,0.255,0.24
890,0.3,0.23,0.24
891,0.3,0.24,0.24
892,0.3,0.245,0.24
893,0.3,0.24,0.225
894,0.3,0.24,0.235
895,0.3,0.24,0.25
896,0.3,0.24,0.245
897,0.3,0.235,0.255
898,0.3,0.235,0.235
899,0.3,0.24,0.24
900,0.3,0.245,0.235
901,0.3,0.235,0.24
902,0.3,0.255,0.235
903,0.3,0.25,0.235
904,0.3,0.25,0.245
905,0.3,0.235,0.245
